Atharintiki Daaredi ; Sri Venkateswara Cine Chitra ; Trivikram Srinivas ; Family ; 123telugu;
Chennai Express ; Red Chillies Entertainment ; Rohit Shetty ; center ; ;
 ; TriStar Pictures ; Neill Blomkamp ; Future ; ComingSoon;
 ; Walt Disney Pictures ; Klay Hall ; Family ; ComingSoon;
 ;  Sri Mishri Productions  ;  ; Action ; ;
Ass 2  ; Universal Studios ; Jeff Wadlow ;  ; filmdates;
t Them Bodies Saints ; IFC Films ;  David Lowery  ; Western ; ComingSoon;
 ; Open Road Films ; Joshua Michael Stern ; Biography ; ComingSoon;
2013 film ; Relativity Media ; Robert Luketic ; Crime ; ComingSoon;
The Butler ; The Weinstein Company ; Lee Daniels ; Drama ; ComingSoon;
The Mortal Instruments ; Screen Gems ; Harald Zwart ; Action ; ComingSoon;
Drinking Buddies ; Magnolia Pictures ; Joe Swanberg ; Comedy ; ;
Scenic Route  ;  Vertical Entertainment  ;  Kevin Goetz ;  ; ComingSoon;
Short Term 12 ;  Cinedigm Entertainment  ;  Destin Daniel Cretton  ;  ; ComingSoon;
re Next ; Lions Gate Entertainment ; Adam Wingard ; Horror ; ComingSoon;
Closed Circuit  ; Focus Features ; John Crowley  ; Crime ; ComingSoon;
One Direction ; TriStar Pictures ; Morgan Spurlock ; Documentary ; odeon;
Getaway  ; Warner Bros. ; Courtney Solomon ; Action ; ComingSoon;
The Lifeguard ; Screen Media Films ; Liz W. Garcia ; Comedy ; ComingSoon;
Hell Baby ; Gravitas Ventures ; Ben Garant ; Horror ; ComingSoon;
 ; Universal Studios ; David Twohy ; Action ; ComingSoon;
Shuddh Desi Romance ; Yash Raj Films ; Maneesh Sharma ; center ; ollywoodhungama;
Touchy Feely ; Magnolia Pictures ; Lynn Shelton ; Drama ; ComingSoon;
Winnie Mandela  ; Image Entertainment ; Darrell Roodt ; Biographical ; ComingSoon;
 Chapter 2 ;  ; James Wan ; Horror ; ComingSoon;
Jayne Mansfield ; Anchor Bay Films ; Billy Bob Thornton ; Drama ; ComingSoon;
The Family  ; Relativity Media ; Luc Besson ; Crime ; ComingSoon;
Enough Said  ; Fox Searchlight ; Nicole Holofcener ; Comedy ; ComingSoon;
Battle of the Year  ; Screen Gems ;  Benson Lee  ; center ; ComingSoon;
2013 film ; Warner Bros. ; Denis Villeneuve ; Crime ; ComingSoon;
2013 film ; Universal Studios ; Ron Howard ; Action ; ComingSoon;
The Face of Love  ; IFC Films ; Arie Posin ; Romantic ; ComingSoon;
The Wizard of Oz  ; Warner Bros. ; Victor Fleming ; Musical ; ;
Baggage Claim  ; Fox Searchlight Pictures ; David E. Talbert ; Comedy ; ComingSoon;
Cloudy with a Chance of Meatballs 2 ; Columbia Pictures ; Cody Cameron ; Family ; ComingSoon;
Don Jon ; Relativity Media ; Joseph Gordon ; Romance ; ComingSoon;
 Through the Never ;  ; d Antal ; Documentary ; ollingstone;
Ramayya Vasthavayya ; Sri Venkateswara Creations ; Harish Shankar ; Action ; 123telugu;
 ; 20th Century Fox ; Brad Furman ; Crime ; ComingSoon;
 ; Warner Bros. ; Alfonso Cuaron ; Sci ; ComingSoon;
Grace Unplugged ; Roadside Attractions ;  Brad J. Silverman  ; Family ; ComingSoon;
Captain Phillips  ; Columbia Pictures ; Paul Greengrass ; Action ; ComingSoon;
Machete Kills ; Open Road Films ; Robert Rodriguez ; Action ; ComingSoon;
Romeo and Juliet  ; Relativity Media ;  Carlo Carlei  ; Drama ; dailymail;
The Devil ; LD Entertainment ; Christian E. Christiansen ; center ; ComingSoon;
12 Years a Slave  ; Fox Searchlight Pictures ; Steve McQueen  ; Biography ; ComingSoon;
2013 film ; Screen Gems ; Kimberly Peirce ; Drama ; ComingSoon;
Escape Plan  ; Summit Entertainment ; Mikael Hafstrom ; Action ; ComingSoon;
m in Love with a Church Girl ;  Reverence Gospel Media Films  ;  Steve Race  ; Drama ; ComingSoon;
The Fifth Estate  ; Touchstone Pictures ; Bill Condon ; Drama ; ComingSoon;
Jackass Presents ; Paramount Pictures ; Jeff Tremaine ; Comedy ; ComingSoon;
The Counselor ; 20th Century Fox ; Ridley Scott ; Crime ; ComingSoon;
Dallas Buyers Club ; Focus Features ; Marc Vall ; Drama ; ComingSoon;
s Game  ; Summit Entertainment ; Gavin Hood ; center ; ComingSoon;
Free Birds ; Relativity Media ; Jimmy Hayward ; Comedy ; ComingSoon;
Last Vegas ; CBS Films ; Jon Turteltaub ; Comedy ; ComingSoon;
 The Dark World ; Marvel Studios ; Alan Taylor  ; Action ; Boxofficemojo ;
The Best Man Holiday ; Universal Studios ; Malcolm D. Lee ; Comedy ; ComingSoon;
The Book Thief  ; 20th Century Fox ; Brian Percival ; Drama ; ComingSoon;
The Wolf of Wall Street  ; Paramount Pictures ; Martin Scorsese ; Crime ; ComingSoon;
Delivery Man  ; Touchstone Pictures ; Ken Scott ; Comedy ; ComingSoon;
 ; Summit Entertainment ; Alexander Payne ;  ; ComingSoon;
